country,year,import_value
Argentina,2022,2359820
Brazil,2022,1268437.59
United States of America,2022,766317.13
Paraguay,2022,183100
South Africa,2022,8080.91
Romania,2022,4620.16
Spain,2022,3452.26
United Arab Emirates,2022,1659.19
India,2022,1255.04
Egypt,2022,201.13
Argentina,2021,1605011.51
United States of America,2021,718049.47
Brazil,2021,537004
Romania,2021,40095.4
Yemen,2021,10451.59
Croatia,2021,7008.61
Bulgaria,2021,4364.1
Hungary,2021,3851.7
India,2021,2379.09
South Africa,2021,2366.16
Argentina,2020,1463514.52
United States of America,2020,726522.4
Brazil,2020,624791.08
Paraguay,2020,114180.33
Ukraine,2020,72307.45
Romania,2020,48906.76
Yemen,2020,12431.27
Türkiye,2020,3544.05
India,2020,1890.44
South Africa,2020,1248.54
