country,year,import_value
India,2022,8945.32
Thailand,2022,198.45
Pakistan,2022,82.34
Bangladesh,2022,15.89
United States of America,2022,9.12
Viet Nam,2022,95.67
Italy,2022,0.45
Germany,2022,0.58
India,2020,10724.88
Thailand,2020,226.2
Pakistan,2020,75.67
Bangladesh,2020,11.7
United States of America,2020,7.3
Italy,2020,0.27
India,2021,4113.97
Pakistan,2021,180.62
Viet Nam,2021,114.17
Portugal,2021,74.5
United States of America,2021,19.99
Bangladesh,2021,19.81
Thailand,2021,13.69
Italy,2021,6.54
Germany,2021,0.66
Taiwan,2021,0.4
