country,year,import_value
Brazil,2022,633649.18
Latvia,2022,366231.7
Germany,2022,261474.24
Lithuania,2022,259982.56
Ukraine,2022,176031.64
Poland,2022,114770.62
Estonia,2022,61065.7
United States of America,2022,3890.27
India,2022,915.2
Australia,2022,773.6
Poland,2021,633305
Ukraine,2021,489160
Russian Federation,2021,426935
Australia,2021,292560
Latvia,2021,123677
Lithuania,2021,117049
Brazil,2021,69735.4
Germany,2021,68082.3
Canada,2021,56496.7
Estonia,2021,217.76
Poland,2020,448613.3
Lithuania,2020,130500
Latvia,2020,70100
Brazil,2020,62460
Russian Federation,2020,61700
Yemen,2020,29.55
Lebanon,2020,1.65
